title;description;url;image
برنامه کارهای روزمره;یک برنامه وب بدون حواس‌پرتی برای کمک به تمرکز بر ایجاد و انجام وظایف.;https://github.com/mrk-linux/Mega-Corse/tree/2f5793d7d419eda462a3570e746a54158f62483d/todo%20app;1.png
وب‌سایت نمونه کارها;وب‌سایتی که کاملاً با پایتون ساخته شده است تا پروژه‌های برنامه‌نویسی و برنامه‌ها را به نمایش بگذارد.;https://pythonhow.com;2.png
قالب‌های پی‌دی‌اف;اسکریپتی که قالب‌های پی‌دی‌اف چند صفحه‌ای را با توجه به برخی دستورالعمل‌های از پیش تعریف شده تولید می‌کند.;https://pythonhow.com;3.png
فاکتورهای پی‌دی‌اف;اسکریپتی که سوابق فاکتور را از فایل‌های اکسل خوانده و به طور خودکار فاکتورهای پی‌دی‌اف تولید می‌کند.;https://pythonhow.com;4.png
سایت خبری مثبت;وب‌سایتی که داده‌ها را از یک ای‌پی‌آی خبری دریافت کرده و با استفاده از تحلیل احساسات، تنها اخبار مثبت را منتشر می‌کند.;https://pythonhow.com;5.png
ای‌پی‌آی آب و هوا;یک ای‌پی‌آی آرای‌استی ساخته شده با پایتون و فلاسک برای ارائه داده‌های تاریخی آب و هوا برای شهرهای مختلف.;https://pythonhow.com;6.png
پاک‌کننده دانلودها;اسکریپتی که پوشه دانلودها را نظارت کرده و فایل‌های قدیمی را حذف می‌کند تا پوشه مرتب بماند.;https://pythonhow.com;7.png
دریافت‌کننده تور;برنامه‌ای که وب‌سایت یک گروه موسیقی را بررسی کرده و در صورت وجود تورهای جدید، یک ایمیل ارسال می‌کند.;https://pythonhow.com;8.png
چت‌بات کمکی;چت‌باتی که درباره یک موضوع خاص می‌داند و به سوالات مربوط به آن موضوع پاسخ می‌دهد.;https://pythonhow.com;9.png
چت‌بات دامنه باز;چت‌باتی ساخته شده که می‌تواند درباره هر چیزی با انسان بحث کند و با استفاده از ای‌پی‌آی فیسبوک ساخته شده است.;https://pythonhow.com;10.png
تشخیص‌دهنده حرکت وب‌کم;برنامه‌ای که وب‌کم کامپیوتر را نظارت کرده و هنگامی که یک شیء جدید وارد دید می‌شود، یک ایمیل ارسال می‌کند.;https://pythonhow.com;11.png
تحلیل‌گر تایپ;برنامه‌ای که صفحه کلید کامپیوتر را نظارت کرده و پرتکرار ترین کلمات تایپ شده در جلسه را باز می‌گرداند.;https://pythonhow.com;12.png
تحلیل سرعت اینترنت;برنامه‌ای که هر چند ثانیه یک بار سرعت اینترنت را ضبط کرده و مقادیر را در مرورگر به نمودار تبدیل می‌کند.;https://pythonhow.com;13.png
نظارت بر داده‌ها;برنامه‌ای که یک وب‌سایت خاص را نظارت کرده و به طور دوره‌ای داده‌ها را روی یک سرور راه دور ذخیره می‌کند.;https://pythonhow.com;14.png
نمایش داده‌ها;برنامه‌ای که داده‌های جمع‌آوری شده در برنامه نظارتی قبلی را به تصویر می‌کشد.;https://pythonhow.com;15.png
نمایش پیش‌بینی آب و هوا;یک برنامه وب داده‌محور که پیش‌ بینی آب و هوای پنج روز آینده هر شهری را نمایش می‌دهد.;https://pythonhow.com;16.png
سیستم مدیریت دانشجویان;یک برنامه دسکتاپ گرافیکی پایتون (PyQt6) برای مدیریت داده‌های دانشجویان دانشگاه با پشتیبانی پایگاه داده اس‌کیو‌ال.;https://pythonhow.com;17.png
سیستم مدیریت مدرسه;یک برنامه دسکتاپ گرافیکی PyQt6 برای مدیریت داده‌های پیچیده دانشگاه با پشتیبانی پایگاه داده اس‌کیو‌ال.;https://pythonhow.com;18.png
برنامه وب منوی رستوران;یک برنامه وب جنگو که به مشتریان اجازه می‌دهد منوی رستوران و در دسترس بودن وعده‌های غذایی را ببینند.;https://pythonhow.com;19.png
فروشگاه آنلاین;یک برنامه فروشگاه آنلاین جنگو که کاربران می‌توانند سفارش‌های خود را ثبت کرده و فروشندگان می‌توانند انها را مدیریت کنند.;https://pythonhow.com;20.png
